CCY,TradeType,Firm,Size,Tenor,Spread
EUR,Vanilla Outright,BNP,-5000000.0,5Y,3.75
EUR,Vanilla Outright,BNP,-12500000.0,5Y,4.5
EUR,Vanilla Outright,BNP,-25000000.0,5Y,6.0
EUR,Vanilla Outright,BNP,-500000.0,10Y,0.9375
EUR,Vanilla Outright,BNP,-1250000.0,10Y,1.875
EUR,Vanilla Outright,BNP,-2500000.0,10Y,3.75
EUR,Vanilla Outright,BNP,-5000000.0,10Y,4.6875
EUR,Vanilla Outright,BNP,-12500000.0,10Y,5.625
EUR,Vanilla Outright,BNP,-25000000.0,10Y,7.5
EUR,Vanilla Outright,BNP,-500000.0,30Y,1.125
EUR,Vanilla Outright,BNP,-1250000.0,30Y,2.25
EUR,Vanilla Outright,BNP,-2500000.0,30Y,4.5
EUR,Vanilla Outright,BNP,-5000000.0,30Y,5.625
EUR,Vanilla Outright,BNP,-12500000.0,30Y,6.75
EUR,Vanilla Outright,BNP,-25000000.0,30Y,9.0
EUR,Vanilla Outright,RABO,500000.0,1Y,2.0
EUR,Vanilla Outright,RABO,1250000.0,1Y,4.0
EUR,Vanilla Outright,RABO,2500000.0,1Y,6.0
EUR,Vanilla Outright,RABO,5000000.0,1Y,10.0
EUR,Vanilla Outright,RABO,12500000.0,1Y,18.0
EUR,Vanilla Outright,RABO,25000000.0,1Y,25.0
EUR,Vanilla Outright,RABO,500000.0,2Y,2.0
EUR,Vanilla Outright,RABO,1250000.0,2Y,4.0
EUR,Vanilla Outright,RABO,2500000.0,2Y,6.0
EUR,Vanilla Outright,RABO,5000000.0,2Y,10.0
EUR,Vanilla Outright,RABO,12500000.0,2Y,18.0
EUR,Vanilla Outright,RABO,25000000.0,2Y,25.0
EUR,Vanilla Outright,RABO,500000.0,5Y,2.0
EUR,Vanilla Outright,RABO,1250000.0,5Y,4.0
EUR,Vanilla Outright,RABO,2500000.0,5Y,6.0
EUR,Vanilla Outright,RABO,5000000.0,5Y,10.0
EUR,Vanilla Outright,RABO,12500000.0,5Y,18.0
EUR,Vanilla Outright,RABO,25000000.0,5Y,25.0
EUR,Vanilla Outright,RABO,500000.0,10Y,2.0
EUR,Vanilla Outright,RABO,1250000.0,10Y,5.0
EUR,Vanilla Outright,RABO,2500000.0,10Y,7.0
EUR,Vanilla Outright,RABO,5000000.0,10Y,11.0
EUR,Vanilla Outright,RABO,12500000.0,10Y,21.0
EUR,Vanilla Outright,RABO,25000000.0,10Y,30.0
EUR,Vanilla Outright,RABO,500000.0,30Y,2.0
EUR,Vanilla Outright,RABO,1250000.0,30Y,7.0
EUR,Vanilla Outright,RABO,2500000.0,30Y,9.0
EUR,Vanilla Outright,RABO,5000000.0,30Y,13.0
EUR,Vanilla Outright,RABO,12500000.0,30Y,25.0
EUR,Vanilla Outright,RABO,25000000.0,30Y,35.0
EUR,Vanilla Outright,RABO,-500000.0,1Y,2.0
EUR,Vanilla Outright,RABO,-1250000.0,1Y,4.0
EUR,Vanilla Outright,RABO,-2500000.0,1Y,6.0
EUR,Vanilla Outright,RABO,-5000000.0,1Y,10.0
EUR,Vanilla Outright,RABO,-12500000.0,1Y,18.0
EUR,Vanilla Outright,RABO,-25000000.0,1Y,25.0
EUR,Vanilla Outright,RABO,-500000.0,2Y,2.0
EUR,Vanilla Outright,RABO,-1250000.0,2Y,4.0
EUR,Vanilla Outright,RABO,-2500000.0,2Y,6.0
EUR,Vanilla Outright,RABO,-5000000.0,2Y,10.0
EUR,Vanilla Outright,RABO,-12500000.0,2Y,18.0
EUR,Vanilla Outright,RABO,-25000000.0,2Y,25.0
EUR,Vanilla Outright,RABO,-500000.0,5Y,2.0
EUR,Vanilla Outright,RABO,-1250000.0,5Y,4.0
EUR,Vanilla Outright,RABO,-2500000.0,5Y,6.0
EUR,Vanilla Outright,RABO,-5000000.0,5Y,10.0
EUR,Vanilla Outright,RABO,-12500000.0,5Y,18.0
EUR,Vanilla Outright,RABO,-25000000.0,5Y,25.0
EUR,Vanilla Outright,RABO,-500000.0,10Y,2.0
EUR,Vanilla Outright,RABO,-1250000.0,10Y,5.0
EUR,Vanilla Outright,RABO,-2500000.0,10Y,7.0
EUR,Vanilla Outright,RABO,-5000000.0,10Y,11.0
EUR,Vanilla Outright,RABO,-12500000.0,10Y,21.0
EUR,Vanilla Outright,RABO,-25000000.0,10Y,30.0
EUR,Vanilla Outright,RABO,-500000.0,30Y,2.0
EUR,Vanilla Outright,RABO,-1250000.0,30Y,7.0
EUR,Vanilla Outright,RABO,-2500000.0,30Y,9.0
EUR,Vanilla Outright,RABO,-5000000.0,30Y,13.0
EUR,Vanilla Outright,RABO,-12500000.0,30Y,25.0
EUR,Vanilla Outright,RABO,-25000000.0,30Y,35.0
