CCY,TradeType,Firm,Size,Tenor,Spread
CAD,Vanilla Outright,Nomura,-1000000.0,10Y,
CAD,Vanilla Outright,Nomura,-2000000.0,10Y,
CAD,Vanilla Outright,Nomura,-5000000.0,10Y,
CAD,Vanilla Outright,Nomura,-10000000.0,10Y,
CAD,Vanilla Outright,Nomura,-200000.0,30Y,
CAD,Vanilla Outright,Nomura,-500000.0,30Y,
CAD,Vanilla Outright,Nomura,-1000000.0,30Y,
CAD,Vanilla Outright,Nomura,-2000000.0,30Y,
CAD,Vanilla Outright,Nomura,-5000000.0,30Y,
CAD,Vanilla Outright,Nomura,-10000000.0,30Y,
CAD,Vanilla Outright,UBS,200000.0,1Y,4.0
CAD,Vanilla Outright,UBS,500000.0,1Y,5.0
CAD,Vanilla Outright,UBS,1000000.0,1Y,8.0
CAD,Vanilla Outright,UBS,2000000.0,1Y,12.0
CAD,Vanilla Outright,UBS,5000000.0,1Y,15.0
CAD,Vanilla Outright,UBS,10000000.0,1Y,18.0
CAD,Vanilla Outright,UBS,200000.0,2Y,4.0
CAD,Vanilla Outright,UBS,500000.0,2Y,5.0
CAD,Vanilla Outright,UBS,1000000.0,2Y,8.0
CAD,Vanilla Outright,UBS,2000000.0,2Y,12.0
CAD,Vanilla Outright,UBS,5000000.0,2Y,15.0
CAD,Vanilla Outright,UBS,10000000.0,2Y,18.0
CAD,Vanilla Outright,UBS,200000.0,5Y,4.0
CAD,Vanilla Outright,UBS,500000.0,5Y,5.0
CAD,Vanilla Outright,UBS,1000000.0,5Y,8.0
CAD,Vanilla Outright,UBS,2000000.0,5Y,12.0
CAD,Vanilla Outright,UBS,5000000.0,5Y,15.0
CAD,Vanilla Outright,UBS,10000000.0,5Y,18.0
CAD,Vanilla Outright,UBS,200000.0,10Y,4.0
CAD,Vanilla Outright,UBS,500000.0,10Y,5.0
CAD,Vanilla Outright,UBS,1000000.0,10Y,8.0
CAD,Vanilla Outright,UBS,2000000.0,10Y,12.0
CAD,Vanilla Outright,UBS,5000000.0,10Y,15.0
CAD,Vanilla Outright,UBS,10000000.0,10Y,18.0
CAD,Vanilla Outright,UBS,200000.0,30Y,6.0
CAD,Vanilla Outright,UBS,500000.0,30Y,8.0
CAD,Vanilla Outright,UBS,1000000.0,30Y,10.0
CAD,Vanilla Outright,UBS,2000000.0,30Y,15.0
CAD,Vanilla Outright,UBS,5000000.0,30Y,20.0
CAD,Vanilla Outright,UBS,10000000.0,30Y,30.0
CAD,Vanilla Outright,UBS,-200000.0,1Y,4.0
CAD,Vanilla Outright,UBS,-500000.0,1Y,5.0
CAD,Vanilla Outright,UBS,-1000000.0,1Y,8.0
CAD,Vanilla Outright,UBS,-2000000.0,1Y,12.0
CAD,Vanilla Outright,UBS,-5000000.0,1Y,15.0
CAD,Vanilla Outright,UBS,-10000000.0,1Y,18.0
CAD,Vanilla Outright,UBS,-200000.0,2Y,4.0
CAD,Vanilla Outright,UBS,-500000.0,2Y,5.0
CAD,Vanilla Outright,UBS,-1000000.0,2Y,8.0
CAD,Vanilla Outright,UBS,-2000000.0,2Y,12.0
CAD,Vanilla Outright,UBS,-5000000.0,2Y,15.0
CAD,Vanilla Outright,UBS,-10000000.0,2Y,18.0
CAD,Vanilla Outright,UBS,-200000.0,5Y,4.0
CAD,Vanilla Outright,UBS,-500000.0,5Y,5.0
CAD,Vanilla Outright,UBS,-1000000.0,5Y,8.0
CAD,Vanilla Outright,UBS,-2000000.0,5Y,12.0
CAD,Vanilla Outright,UBS,-5000000.0,5Y,15.0
CAD,Vanilla Outright,UBS,-10000000.0,5Y,18.0
CAD,Vanilla Outright,UBS,-200000.0,10Y,4.0
CAD,Vanilla Outright,UBS,-500000.0,10Y,5.0
CAD,Vanilla Outright,UBS,-1000000.0,10Y,8.0
CAD,Vanilla Outright,UBS,-2000000.0,10Y,12.0
CAD,Vanilla Outright,UBS,-5000000.0,10Y,15.0
