CCY,TradeType,Firm,Size,Tenor,Spread
MXN,Vanilla Outright,Nomura,200000000.0,10Y,27.0
MXN,Vanilla Outright,Nomura,-4000000.0,1Y,5.0
MXN,Vanilla Outright,Nomura,-10000000.0,1Y,7.0
MXN,Vanilla Outright,Nomura,-20000000.0,1Y,10.0
MXN,Vanilla Outright,Nomura,-40000000.0,1Y,15.0
MXN,Vanilla Outright,Nomura,-100000000.0,1Y,20.0
MXN,Vanilla Outright,Nomura,-200000000.0,1Y,25.0
MXN,Vanilla Outright,Nomura,-4000000.0,2Y,7.0
MXN,Vanilla Outright,Nomura,-10000000.0,2Y,10.0
MXN,Vanilla Outright,Nomura,-20000000.0,2Y,13.0
MXN,Vanilla Outright,Nomura,-40000000.0,2Y,18.0
MXN,Vanilla Outright,Nomura,-100000000.0,2Y,20.0
MXN,Vanilla Outright,Nomura,-200000000.0,2Y,27.0
MXN,Vanilla Outright,Nomura,-4000000.0,5Y,10.0
MXN,Vanilla Outright,Nomura,-10000000.0,5Y,12.0
MXN,Vanilla Outright,Nomura,-20000000.0,5Y,15.0
MXN,Vanilla Outright,Nomura,-40000000.0,5Y,20.0
MXN,Vanilla Outright,Nomura,-100000000.0,5Y,22.0
MXN,Vanilla Outright,Nomura,-200000000.0,5Y,27.0
MXN,Vanilla Outright,Nomura,-4000000.0,10Y,10.0
MXN,Vanilla Outright,Nomura,-10000000.0,10Y,12.0
MXN,Vanilla Outright,Nomura,-20000000.0,10Y,15.0
MXN,Vanilla Outright,Nomura,-40000000.0,10Y,20.0
MXN,Vanilla Outright,Nomura,-100000000.0,10Y,22.0
MXN,Vanilla Outright,Nomura,-200000000.0,10Y,27.0
MXN,Vanilla Outright,UBS,4000000.0,1Y,5.0
MXN,Vanilla Outright,UBS,10000000.0,1Y,10.0
MXN,Vanilla Outright,UBS,20000000.0,1Y,20.0
MXN,Vanilla Outright,UBS,40000000.0,1Y,40.0
MXN,Vanilla Outright,UBS,100000000.0,1Y,60.0
MXN,Vanilla Outright,UBS,200000000.0,1Y,100.0
MXN,Vanilla Outright,UBS,4000000.0,2Y,5.0
MXN,Vanilla Outright,UBS,10000000.0,2Y,10.0
MXN,Vanilla Outright,UBS,20000000.0,2Y,20.0
MXN,Vanilla Outright,UBS,40000000.0,2Y,40.0
MXN,Vanilla Outright,UBS,100000000.0,2Y,60.0
MXN,Vanilla Outright,UBS,200000000.0,2Y,100.0
MXN,Vanilla Outright,UBS,4000000.0,5Y,5.0
MXN,Vanilla Outright,UBS,10000000.0,5Y,10.0
MXN,Vanilla Outright,UBS,20000000.0,5Y,20.0
MXN,Vanilla Outright,UBS,40000000.0,5Y,40.0
MXN,Vanilla Outright,UBS,100000000.0,5Y,60.0
MXN,Vanilla Outright,UBS,200000000.0,5Y,100.0
MXN,Vanilla Outright,UBS,4000000.0,10Y,5.0
MXN,Vanilla Outright,UBS,10000000.0,10Y,10.0
MXN,Vanilla Outright,UBS,20000000.0,10Y,20.0
MXN,Vanilla Outright,UBS,40000000.0,10Y,40.0
MXN,Vanilla Outright,UBS,100000000.0,10Y,60.0
MXN,Vanilla Outright,UBS,200000000.0,10Y,100.0
MXN,Vanilla Outright,UBS,-4000000.0,1Y,5.0
MXN,Vanilla Outright,UBS,-10000000.0,1Y,10.0
MXN,Vanilla Outright,UBS,-20000000.0,1Y,20.0
MXN,Vanilla Outright,UBS,-40000000.0,1Y,40.0
MXN,Vanilla Outright,UBS,-100000000.0,1Y,60.0
MXN,Vanilla Outright,UBS,-200000000.0,1Y,100.0
MXN,Vanilla Outright,UBS,-4000000.0,2Y,5.0
MXN,Vanilla Outright,UBS,-10000000.0,2Y,10.0
MXN,Vanilla Outright,UBS,-20000000.0,2Y,20.0
MXN,Vanilla Outright,UBS,-40000000.0,2Y,40.0
MXN,Vanilla Outright,UBS,-100000000.0,2Y,60.0
MXN,Vanilla Outright,UBS,-200000000.0,2Y,100.0
MXN,Vanilla Outright,UBS,-4000000.0,5Y,5.0
MXN,Vanilla Outright,UBS,-10000000.0,5Y,10.0
MXN,Vanilla Outright,UBS,-20000000.0,5Y,20.0
MXN,Vanilla Outright,UBS,-40000000.0,5Y,40.0
MXN,Vanilla Outright,UBS,-100000000.0,5Y,60.0
MXN,Vanilla Outright,UBS,-200000000.0,5Y,100.0
MXN,Vanilla Outright,UBS,-4000000.0,10Y,5.0
